
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,55,55,55,55,55,55,55,1,1,33,33,33,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,122,19,5,2,4,3,0,7,3,391,171,55,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,11,49,45,12,47,43,11,4,3,261,171,65,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,160,224,91,20,141,70,12,11,3,435,171,39,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,14,45,45,15,45,45,15,3,3,260,171,86,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,353,27,7,3,10,6,1,8,3,400,171,50,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,361,95,20,10,30,10,3,9,3,401,171,44,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,106,0,0,0,0,0,0,1,1,56,56,56,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,103,3,3,1,1,1,0,3,2,320,171,106,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,83,4,3,1,1,1,0,3,2,320,171,106,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,376,46,30,7,-337,1,-56,6,3,350,171,58,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,149,183,82,30,20,18,3,6,3,396,171,66,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,22,1,1,0,0,0,0,3,3,260,171,86,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,10,2,2,1,0,0,0,2,2,227,171,113,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,41,0,0,0,0,0,0,2,2,227,171,113,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,14,8,4,2,1,1,0,3,2,320,171,106,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,39,0,0,0,-14,0,-4,3,3,260,171,86,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,37,37,37,37,37,37,37,1,1,33,33,33,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,28,28,28,28,28,28,28,1,1,28,28,28,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,6,6,6,6,6,6,6,1,1,28,28,28,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,7,9,7,3,7,7,2,3,2,406,207,135,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,10,11,10,5,10,10,5,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,33,40,33,20,33,33,16,2,2,378,207,189,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,92,97,92,32,92,92,30,3,2,406,207,135,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,91,104,91,26,92,91,23,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,124,129,124,43,125,124,41,3,2,471,207,157,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,24,25,24,12,24,24,12,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,76,85,76,17,77,76,15,5,3,500,207,100,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,67,70,67,23,68,67,22,3,2,471,207,157,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,24,24,24,12,24,24,12,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,82,84,82,42,82,82,41,2,2,378,207,189,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,41,42,41,21,41,41,20,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,10,10,10,10,10,10,10,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,10,10,10,5,10,10,5,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,10,10,10,5,10,10,5,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,44,55,44,13,45,44,11,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,39,42,39,14,40,39,13,3,2,471,207,157,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,37,45,37,11,38,37,9,4,2,499,207,124,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,59,68,59,17,60,59,15,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,161,216,161,36,165,161,27,6,3,501,207,83,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,45,55,45,13,46,45,11,4,2,499,207,124,No
