DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,3,53.22508896797153,IBk,true,true,false,0.30526315789473685,0.25892857142857145,0.6136341214034584,0.24319813738253016,29.0,66.0,1925.0,83.0,0.44642857142857145,896
STORM,3,53.22508896797153,IBk,true,false,true,0.2876712328767123,0.1875,0.7556750914831025,0.19311355154103896,21.0,52.0,1939.0,91.0,0.4107142857142857,962
STORM,4,59.8270126413839,RandomForest,false,false,false,0.2328767123287671,0.10897435897435898,0.6545928602774569,0.11946303705642651,17.0,56.0,2807.0,139.0,0.4230769230769231,1446
STORM,4,59.8270126413839,RandomForest,true,false,false,0.21138211382113822,0.16666666666666666,0.6316050493923354,0.14754112634885086,26.0,97.0,2766.0,130.0,0.4166666666666667,1397
STORM,4,59.8270126413839,RandomForest,true,true,false,0.10977443609022557,0.46794871794871795,0.6507664096294903,0.10272205023162591,73.0,592.0,2271.0,83.0,0.4551282051282051,1422
STORM,4,59.8270126413839,RandomForest,true,false,true,0.6666666666666666,0.01282051282051282,0.6331611542491739,0.02325265871400686,2.0,1.0,2862.0,154.0,0.3974358974358974,1541
STORM,4,59.8270126413839,NaiveBayes,false,false,false,0.2717391304347826,0.16025641025641027,0.6851294589680897,0.1697842246197265,25.0,67.0,2796.0,131.0,0.46153846153846156,1377
STORM,4,59.8270126413839,NaiveBayes,true,false,false,0.22413793103448276,0.08333333333333333,0.6699221723671601,0.0961797538098956,13.0,45.0,2818.0,143.0,0.5769230769230769,1475
STORM,4,59.8270126413839,NaiveBayes,true,true,false,0.16129032258064516,0.19230769230769232,0.6649918948207457,0.1263338074391516,30.0,156.0,2707.0,126.0,0.3717948717948718,1416
STORM,4,59.8270126413839,NaiveBayes,true,false,true,0.24444444444444444,0.07051282051282051,0.6699221723671601,0.088360080232262,11.0,34.0,2829.0,145.0,0.5576923076923077,1484
STORM,4,59.8270126413839,IBk,false,false,false,0.14814814814814814,0.10256410256410256,0.6602474542572342,0.08241890688046971,16.0,92.0,2771.0,140.0,0.46794871794871795,1492
STORM,4,59.8270126413839,IBk,true,false,false,0.14948453608247422,0.1858974358974359,0.6651620588050906,0.1150200477451558,29.0,165.0,2698.0,127.0,0.27564102564102566,1435
STORM,4,59.8270126413839,IBk,true,true,false,0.10110803324099724,0.46794871794871795,0.6530792964167047,0.08885478709236937,73.0,649.0,2214.0,83.0,0.3548387096774194,1479
STORM,4,59.8270126413839,IBk,true,false,true,0.15384615384615385,0.16666666666666666,0.6651620588050906,0.11229504753637028,26.0,143.0,2720.0,130.0,0.27564102564102566,1443
STORM,5,89.0930646117368,RandomForest,false,false,false,0.9,0.038461538461538464,0.6578580150008722,0.05404913557779793,9.0,1.0,685.0,225.0,0.6452991452991453,2251
STORM,5,89.0930646117368,RandomForest,true,false,false,0.8421052631578947,0.06837606837606838,0.6640876130672049,0.09178623117194051,16.0,3.0,683.0,218.0,0.6196581196581197,2183
STORM,5,89.0930646117368,RandomForest,true,true,false,0.3659305993690852,0.49572649572649574,0.6329988039171712,0.18151292377371944,116.0,201.0,485.0,118.0,0.7478632478632479,1381
STORM,5,89.0930646117368,RandomForest,true,false,true,NaN,0.0,0.6351137524606912,0.0,0.0,0.0,686.0,234.0,0.44017094017094016,2340
STORM,5,89.0930646117368,NaiveBayes,false,false,false,0.4230769230769231,0.09401709401709402,0.6426951733074182,0.06760922004824416,22.0,30.0,656.0,212.0,0.09829059829059829,2150
STORM,5,89.0930646117368,NaiveBayes,true,false,false,0.3,0.02564102564102564,0.6334784829682789,0.007489300998573495,6.0,14.0,672.0,228.0,0.05982905982905983,2294
STORM,5,89.0930646117368,NaiveBayes,true,true,false,0.3181818181818182,0.05982905982905983,0.5935124965737211,0.02197577901755328,14.0,30.0,656.0,220.0,0.05555555555555555,2230
STORM,5,89.0930646117368,NaiveBayes,true,false,true,0.29411764705882354,0.021367521367521368,0.6334784829682789,0.005579376042769497,5.0,12.0,674.0,229.0,0.029914529914529916,2302
