DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
BOOKKEEPER,3,68.20603907637656,IBk,false,false,false,0.3266832917705736,0.26464646464646463,0.6539405792431094,0.1795935776301427,131.0,270.0,2457.0,364.0,0.38181818181818183,3910
BOOKKEEPER,3,68.20603907637656,IBk,true,false,false,0.32172131147540983,0.28545454545454546,0.6558742874287429,0.18473597463544766,157.0,331.0,2699.0,393.0,0.42592592592592593,4261
BOOKKEEPER,3,68.20603907637656,IBk,true,true,false,0.3024,0.31239669421487604,0.6570210740082273,0.17915982669070735,189.0,436.0,2897.0,416.0,0.42592592592592593,4596
BOOKKEEPER,3,68.20603907637656,IBk,true,false,true,0.30903790087463556,0.3212121212121212,0.6610446461312798,0.18782110588374254,212.0,474.0,3162.0,448.0,0.4074074074074074,4954
BOOKKEEPER,4,74.91683300066533,RandomForest,false,false,false,0.45454545454545453,0.7,0.8259633027522936,0.4651683715373704,35.0,42.0,285.0,15.0,0.62,192
BOOKKEEPER,4,74.91683300066533,RandomForest,true,false,false,0.4580152671755725,0.6,0.8191437308868501,0.4344006379499098,60.0,71.0,583.0,40.0,0.5714285714285714,471
BOOKKEEPER,4,74.91683300066533,RandomForest,true,true,false,0.3560606060606061,0.6266666666666667,0.796629289840299,0.34297259365505345,94.0,170.0,811.0,56.0,0.52,730
BOOKKEEPER,4,74.91683300066533,RandomForest,true,false,true,0.3533834586466165,0.47,0.7740252293577982,0.29699091774996333,94.0,172.0,1136.0,106.0,0.54,1232
BOOKKEEPER,4,74.91683300066533,NaiveBayes,false,false,false,0.35185185185185186,0.38,0.743988990825688,0.2640203502129677,95.0,175.0,1460.0,155.0,0.54,1725
BOOKKEEPER,4,74.91683300066533,NaiveBayes,true,false,false,0.36462093862815886,0.33666666666666667,0.7351146788990826,0.2552507783320781,101.0,176.0,1786.0,199.0,0.46,2166
BOOKKEEPER,4,74.91683300066533,NaiveBayes,true,true,false,0.36421725239616615,0.32571428571428573,0.7281370529863321,0.24996912888575865,114.0,199.0,2090.0,236.0,0.36,2559
BOOKKEEPER,4,74.91683300066533,NaiveBayes,true,false,true,0.3662420382165605,0.2875,0.7102207568807339,0.2326119321383812,115.0,199.0,2417.0,285.0,0.46,3049
BOOKKEEPER,4,74.91683300066533,IBk,false,false,false,0.37142857142857144,0.31777777777777777,0.7174300600294484,0.2508984961725689,143.0,242.0,2701.0,307.0,0.56,3312
BOOKKEEPER,4,74.91683300066533,IBk,true,false,false,0.3686534216335541,0.334,0.7189305810397554,0.2567607594090088,167.0,286.0,2984.0,333.0,0.5,3616
BOOKKEEPER,4,74.91683300066533,IBk,true,true,false,0.32998324958123953,0.35818181818181816,0.7128301362246316,0.2383511438912427,197.0,400.0,3197.0,353.0,0.48,3930
BOOKKEEPER,4,74.91683300066533,IBk,true,false,true,0.33537519142419603,0.365,0.7146432212028543,0.24522392349434155,219.0,434.0,3490.0,381.0,0.4,4244
