Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,10665,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,251,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,163,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,447,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,331,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,339,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,627,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,339,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,543,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,370,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,251,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,584,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,776,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,25,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,751,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,9,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,35,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,19,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,12,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,12,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,12,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,15,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,6,6,6,2,6,6,2,3,2,1302,434,434,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/IContext.java,8,8,8,2,8,8,2,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,28,86,28,12,28,28,4,7,3,1326,434,189,No
